01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
12/2862,"（寄物陳思）","山川 水陰生 山草 不止妹 所念鴨","山川の水陰に生ふる山菅のやまずも妹は思ほゆるかも","やまがはの みづかげにおふる やますげの やまずもいもは おもほゆるかも","（右廿三首柿本朝臣人麻呂之歌集出）","なし","作者：柿本人麻呂歌集 略体 植物 序詞 恋情","やまがはの,[寛]やまかはの,#みづかげにおふる,[寛]みかけにおふる,#やますげの,[寛]やますけの,#やまずもいもは,[寛]やますもいもか,#おもほゆるかも[寛],##"
12/2863,"（寄物陳思）","淺葉野 立神古 菅根 惻隠誰故 吾不戀 [或本歌曰 誰葉野尓 立志奈比垂]","浅葉野に立ち神さぶる菅の根のねもころ誰がゆゑ我が恋ひなくに [或本歌曰 誰が葉野に立ちしなひたる]","あさはのに たちかむさぶる すがのねの ねもころたがゆゑ あがこひなくに [たがはのに たちしなひたる]","右廿三首柿本朝臣人麻呂之歌集出","なし","作者：柿本人麻呂歌集 略体 植物 序詞 恋情 異伝","あさはのに[寛],#たちかむさぶる,[寛]たつみわこすけ,#すがのねの,[寛]ねかくれて,#ねもころたがゆゑ,[寛]たれゆへにかは,#あがこひなくに,[寛]わかこひさらむ,#[たがはのに,[寛]たかはのに,#たちしなひたる][寛],##"
12/2864,"正述心緒","吾背子乎 且今々々跡 待居尓 夜更深去者 嘆鶴鴨","我が背子を今か今かと待ち居るに夜の更けゆけば嘆きつるかも","わがせこを いまかいまかと まちゐるに よのふけゆけば なげきつるかも","なし","なし","恋情 女歌","わがせこを,[寛]わかせこを,#いまかいまかと[寛],#まちゐるに,[寛]まちをるに,#よのふけゆけば,[寛]よのふけゆけは,#なげきつるかも,[寛]なけきつるかも,##"
12/2865,"（正述心緒）","玉釼 巻宿妹母 有者許増 夜之長毛 歡有倍吉","玉釧まき寝る妹もあらばこそ夜の長けくも嬉しくあるべき","たまくしろ まきぬるいもも あらばこそ よのながけくも うれしくあるべき","なし","なし","恋愛","たまくしろ,[寛]たまつるき,#まきぬるいもも[寛],#あらばこそ,[寛]あらはこそ,#よのながけくも,[寛]よのなかけきも,#うれしくあるべき,[寛]うれしかるへき,##"
12/2866,"（正述心緒）","人妻尓 言者誰事 酢衣乃 此紐解跡 言者孰言","人妻に言ふは誰が言さ衣のこの紐解けと言ふは誰が言","ひとづまに いふはたがこと さごろもの このひもとけと いふはたがこと","なし","なし","女歌 歌謡","ひとづまに,[寛]ひとつまに,#いふはたがこと,[寛]いふはたかこと,#さごろもの,[寛]さころもの,#このひもとけと[寛],#いふはたがこと,[寛]いふはたかこと,##"
12/2867,"（正述心緒）","如是許 将戀物其跡 知者 其夜者由多尓 有益物乎","かくばかり恋ひむものぞと知らませばその夜はゆたにあらましものを","かくばかり こひむものぞと しらませば そのよはゆたに あらましものを","なし","なし","恋情 未練","かくばかり,[寛]かくはかり,#こひむものぞと,[寛]こひむものそと,#しらませば,[寛]しらませは,#そのよはゆたに[寛],#あらましものを[寛],##"
12/2868,"（正述心緒）","戀乍毛 後将相跡 思許増 己命乎 長欲為礼","恋ひつつも後も逢はむと思へこそおのが命を長く欲りすれ","こひつつも のちもあはむと おもへこそ おのがいのちを ながくほりすれ","なし","なし","恋情","こひつつも[寛],#のちもあはむと,[寛]のちにあはむと,#おもへこそ[寛],#おのがいのちを,[寛]おのかいのちを,#ながくほりすれ,[寛]なかくほりすれ,##"
12/2869,"（正述心緒）","今者吾者 将死与吾妹 不相而 念渡者 安毛無","今は我は死なむよ我妹逢はずして思ひわたれば安けくもなし","いまはわは しなむよわぎも あはずして おもひわたれば やすけくもなし","なし","なし","恋情","いまはわは,[寛]いまはわれ,#しなむよわぎも,[寛]しなむよわきも,#あはずして,[寛]あはすして,#おもひわたれば,[寛]おもひわたれは,#やすけくもなし[寛],##"
12/2870,"（正述心緒）","我背子之 将来跡語之 夜者過去 思咲八更々 思許理来目八面","我が背子が来むと語りし夜は過ぎぬしゑやさらさらしこり来めやも","わがせこが こむとかたりし よはすぎぬ しゑやさらさら しこりこめやも","なし","なし","女歌 怨恨 恋愛","わがせこが,[寛]わかせこか,#こむとかたりし[寛],#よはすぎぬ,[寛]よはすきぬ,#しゑやさらさら[寛],#しこりこめやも[寛],##"
12/2871,"（正述心緒）","人言之 讒乎聞而 玉<桙>之 道毛不相常 云吾妹","人言の讒しを聞きて玉桙の道にも逢はじと言へりし我妹","ひとごとの よこしをききて たまほこの みちにもあはじと いへりしわぎも","なし","杵 -> 桙 [細][温][矢][京]","尫柜蹋 枕詞 恋愛","ひとごとの,[寛]ひとことの,#よこしをききて,[寛]よこすをききて,#たまほこの[寛],#みちにもあはじと,[寛]みちにもあはす,#いへりしわぎも,[寛]つねいふわきも,##"
12/2872,"（正述心緒）","不相毛 懈常念者 弥益二 人言繁 所聞来可聞","逢はなくも憂しと思へばいや増しに人言繁く聞こえ来るかも","あはなくも うしとおもへば いやましに ひとごとしげく きこえくるかも","なし","なし","尫柜蹋 恋愛","あはなくも,[寛]あはぬをも,#うしとおもへば,[寛]うしとおもへは,#いやましに[寛],#ひとごとしげく,[寛]ひとことしけく,#きこえくるかも,[寛]きこえこむかも,##"
12/2873,"（正述心緒）","里人毛 謂告我祢 縦咲也思 戀而毛将死 誰名将有哉","里人も語り継ぐがねよしゑやし恋ひても死なむ誰が名ならめや","さとびとも かたりつぐがね よしゑやし こひてもしなむ たがなならめや","なし","なし","尫柜蹋 人目 恋愛","さとびとも,[寛]さとひとも,#かたりつぐがね,[寛]いひつくかねに,#よしゑやし[寛],#こひてもしなむ[寛],#たがなならめや,[寛]たかなならめや,##"
12/2874,"（正述心緒）","り 使乎無跡 情乎曽 使尓遣之 夢所見哉","確かなる使をなみと心をぞ使に遣りし夢に見えきや","たしかなる つかひをなみと こころをぞ つかひにやりし いめにみえきや","なし","なし","恋愛","たしかなる[寛],#つかひをなみと,[寛]つかひをなしと,#こころをぞ,[寛]こころをそ,#つかひにやりし[寛],#いめにみえきや,[寛]ゆめにみえきや,##"
12/2875,"（正述心緒）","天地尓 小不至 大夫跡 思之吾耶 <雄>心毛無寸","天地に少し至らぬ大夫と思ひし我れや雄心もなき","あめつちに すこしいたらぬ ますらをと おもひしわれや をごころもなき","なし","雄 [西（上書訂正）][元][紀][細][温]","恋情","あめつちに[寛],#すこしいたらぬ[寛],#ますらをと[寛],#おもひしわれや[寛],#をごころもなき,[寛]をこころもなき,##"
12/2876,"（正述心緒）","里近 家<哉>應居 此吾目之 人目乎為乍 戀繁口","里近く家や居るべきこの我が目の人目をしつつ恋の繁けく","さとちかく いへやをるべき このわがめの ひとめをしつつ こひのしげけく","なし","武 -> 哉 [西（右書訂正）][元][紀][細][温] / 目之 [元] 目","尫柜蹋 人目 恋情","さとちかく[寛],#いへやをるべき,[寛]いへやをるへき,#このわがめの,[寛]このわかめの,#ひとめをしつつ[寛],#こひのしげけく,[寛]こひのしけけく,##"
12/2877,"（正述心緒）","何時奈毛 不<戀>有登者 雖不有 得田直比来 戀之繁母","いつはなも恋ひずありとはあらねどもうたてこのころ恋し繁しも","いつはなも こひずありとは あらねども うたてこのころ こひししげしも","なし","戀奈毛 -> 戀 [西（訂正）][紀][細][温]","恋情","いつはなも,[寛]いつとなも,#こひずありとは,[寛]こひすありとは,#あらねども,[寛]あらねとも,#うたてこのころ,[寛]うたたこのころ,#こひししげしも,[寛]こひのしけきも,##"
12/2878,"（正述心緒）","黒玉之 宿而之晩乃 物念尓 割西る者 息時裳無","ぬばたまの寐ねてし宵の物思ひに裂けにし胸はやむ時もなし","ぬばたまの いねてしよひの ものもひに さけにしむねは やむときもなし","なし","なし","枕詞 恋情","ぬばたまの,[寛]ぬはたまの,#いねてしよひの,[寛]ねてのゆふへの,#ものもひに,[寛]ものおもひに,#さけにしむねは[寛],#やむときもなし[寛],##"
12/2879,"（正述心緒）","三空去 名之惜毛 吾者無 不相日數多 年之經者","み空行く名の惜しけくも我れはなし逢はぬ日まねく年の経ぬれば","みそらゆく なのをしけくも われはなし あはぬひまねく としのへぬれば","なし","なし","尫柜蹋 恋情","みそらゆく[寛],#なのをしけくも[寛],#われはなし[寛],#あはぬひまねく,[寛]あはぬひあまた,#としのへぬれば,[寛]としのへぬれは,##"
12/2880,"（正述心緒）","得管二毛 今毛見<壮>鹿 夢耳 手本纒宿登 見者辛苦毛 [或本歌發<句>曰 吾妹兒乎]","うつつにも今も見てしか夢のみに手本まき寝と見るは苦しも [或本歌發<句>曰 我妹子を]","うつつにも いまもみてしか いめのみに たもとまきぬと みるはくるしも [わぎもこを]","なし","社 -> 壮 [元][細][紀] / 勺 -> 句 [元][紀][細]","異伝 恋情","うつつにも[寛],#いまもみてしか[寛],#いめのみに,[寛]ゆめにのみ,#たもとまきぬと[寛],#みるはくるしも,[寛]みれはくるしも,#[わぎもこを],[寛]わきもこを,##"
12/2881,"（正述心緒）","立而居 為便乃田時毛 今者無 妹尓不相而 月之經去者 [或本歌曰 君之目不見而 月之經去者]","立ちて居てすべのたどきも今はなし妹に逢はずて月の経ぬれば [或本歌曰 君が目見ずて月の経ぬれば]","たちてゐて すべのたどきも いまはなし いもにあはずて つきのへぬれば [きみがめみずて つきのへぬれば]","なし","なし","異伝 恋情","たちてゐて,[寛]たちてゐる,#すべのたどきも,[寛]すへのたときも,#いまはなし[寛],#いもにあはずて,[寛]いもにあはすて,#つきのへぬれば,[寛]つきのへゆけは,#[きみがめみずて,[寛]きみかめみすて,#つきのへぬれば],[寛]つきのへゆけは,##"
12/2882,"（正述心緒）","不相而 戀度等母 忘哉 弥日異者 思益等母","逢はずして恋ひわたるとも忘れめやいや日に異には思ひ増すとも","あはずして こひわたるとも わすれめや いやひにけには おもひますとも","なし","なし","恋情","あはずして,[寛]あはすして,#こひわたるとも,[寛]こひわたるも,#わすれめや[寛],#いやひにけには[寛],#おもひますとも[寛],##"
12/2883,"（正述心緒）","外目毛 君之光儀乎 見而者社 吾戀山目 命不死者 [一云 壽向 吾戀止目]","外目にも君が姿を見てばこそ我が恋やまめ命死なずは [一云 命に向ふ我が恋やまめ]","よそめにも きみがすがたを みてばこそ あがこひやまめ いのちしなずは [いのちにむかふ あがこひやまめ]","なし","なし","恋情 異伝","よそめにも[寛],#きみがすがたを,[寛]きみかすかたを,#みてばこそ,[寛]みてはこそ,#あがこひやまめ,[寛]われこひやまめ,#いのちしなずは,[寛]いのちしなすは,#[いのちにむかふ[寛],#あがこひやまめ],[寛]わかこひやまめ,##"
12/2884,"（正述心緒）","戀管母 今日者在目杼 玉匣 将開明日 如何将暮","恋ひつつも今日はあらめど玉櫛笥明けなむ明日をいかに暮らさむ","こひつつも けふはあらめど たまくしげ あけなむあすを いかにくらさむ","なし","なし","枕詞 恋情","こひつつも[寛],#けふはあらめど,[寛]けふはあらめと,#たまくしげ,[寛]たまくしけ,#あけなむあすを[寛],#いかにくらさむ,[寛]いかてくらさむ,##"
12/2885,"（正述心緒）","左夜深而 妹乎念出 布妙之 枕毛衣世二 <嘆>鶴鴨","さ夜更けて妹を思ひ出で敷栲の枕もそよに嘆きつるかも","さよふけて いもをおもひいで しきたへの まくらもそよに なげきつるかも","なし","歎 -> 嘆 [元][紀][細][温]","枕詞 恋情","さよふけて[寛],#いもをおもひいで,[寛]いもをおもひてて,#しきたへの[寛],#まくらもそよに[寛],#なげきつるかも,[寛]なけきつるかも,##"
12/2886,"（正述心緒）","他言者 真言痛 成友 彼所将障 吾尓不有國","人言はまこと言痛くなりぬともそこに障らむ我れにあらなくに","ひとごとは まことこちたく なりぬとも そこにさはらむ われにあらなくに","なし","なし","尫柜蹋 恋情","ひとごとは,[寛]ひとことは,#まことこちたく[寛],#なりぬとも[寛],#そこにさはらむ[寛],#われにあらなくに[寛],##"
12/2887,"（正述心緒）","立居 田時毛不知 吾意 天津空有 土者踐鞆","立ちて居てたどきも知らず我が心天つ空なり地は踏めども","たちてゐて たどきもしらず あがこころ あまつそらなり つちはふめども","なし","なし","恋情","たちてゐて,[寛]たちゐする,#たどきもしらず,[寛]たときもしらす,#あがこころ,[寛]わかこころ,#あまつそらなり[寛],#つちはふめども,[寛]つちはふめとも,##"
12/2888,"（正述心緒）","世間之 人辞常 所念莫 真曽戀之 不相日乎多美","世の中の人のことばと思ほすなまことぞ恋ひし逢はぬ日を多み","よのなかの ひとのことばと おもほすな まことぞこひし あはぬひをおほみ","なし","なし","恋情","よのなかの[寛],#ひとのことばと,[寛]ひとのことはと,#おもほすな[寛],#まことぞこひし,[寛]まことそこひし,#あはぬひをおほみ[寛],##"
12/2889,"（正述心緒）","乞如何 吾幾許戀流 吾妹子之 不相跡言流 事毛有莫國","いで如何に我がここだ恋ふる我妹子が逢はじと言へることもあらなくに","いでいかに あがここだこふる わぎもこが あはじといへる こともあらなくに","なし","なし","恋情","いでいかに,[寛]いていかに,#あがここだこふる,[寛]わかかくこふる,#わぎもこが,[寛]わきもこか,#あはじといへる,[寛]あはしといへる,#こともあらなくに[寛],##"
12/2890,"（正述心緒）","夜干玉之 夜乎長鴨 吾背子之 夢尓夢西 所見還良武","ぬばたまの夜を長みかも我が背子が夢に夢にし見えかへるらむ","ぬばたまの よをながみかも わがせこが いめにいめにし みえかへるらむ","なし","なし","枕詞 恋情","ぬばたまの,[寛]ぬはたまの,#よをながみかも,[寛]よをなかみかも,#わがせこが,[寛]わかせこか,#いめにいめにし,[寛]ゆめにゆめにし,#みえかへるらむ[寛],##"
12/2891,"（正述心緒）","荒玉之 年緒長 如此戀者 信吾命 全有目八面","あらたまの年の緒長くかく恋ひばまこと我が命全くあらめやも","あらたまの としのをながく かくこひば まことわがいのち またくあらめやも","なし","なし","枕詞 恋情","あらたまの[寛],#としのをながく,[寛]としのをなかく,#かくこひば,[寛]かくこひは,#まことわがいのち,[寛]まことわかいのち,#またくあらめやも,[寛]またからめやも,##"
12/2892,"（正述心緒）","思遣 為便乃田時毛 吾者無 不相數多 月之經去者","思ひ遣るすべのたどきも我れはなし逢はずてまねく月の経ぬれば","おもひやる すべのたどきも われはなし あはずてまねく つきのへぬれば","なし","なし","恋情","おもひやる[寛],#すべのたどきも,[寛]すへのたときも,#われはなし[寛],#あはずてまねく,[寛]あはすてあまた,#つきのへぬれば,[寛]つきのへゆけは,##"
12/2893,"（正述心緒）","朝去而 暮者来座 君故尓 忌々久毛吾者 歎鶴鴨","朝去にて夕は来ます君ゆゑにゆゆしくも我は嘆きつるかも","あしたいにて ゆふへはきます きみゆゑに ゆゆしくもわは なげきつるかも","なし","なし","恋情 女歌","あしたいにて,[寛]あさゆきて,#ゆふへはきます[寛],#きみゆゑに,[寛]きみゆへに,#ゆゆしくもわは,[寛]ゆゆしくもわれは,#なげきつるかも,[寛]なけきつるかも,##"
12/2894,"（正述心緒）","従聞 物乎念者 我る者 破而摧而 鋒心無","聞きしより物を思へば我が胸は破れて砕けて利心もなし","ききしより ものをおもへば あがむねは われてくだけて とごころもなし","なし","なし","恋情","ききしより[寛],#ものをおもへば,[寛]ものをおもへは,#あがむねは,[寛]わかむねは,#われてくだけて,[寛]われてくたけて,#とごころもなし,[寛]とこころもなし,##"
12/2895,"（正述心緒）","人言乎 繁三言痛三 我妹子二 去月従 未相可母","人言を繁み言痛み我妹子に去にし月よりいまだ逢はぬかも","ひとごとを しげみこちたみ わぎもこに いにしつきより いまだあはぬかも","なし","なし","尫柜蹋 恋情","ひとごとを,[寛]ひとことを,#しげみこちたみ,[寛]しけみこちたみ,#わぎもこに,[寛]わきもこに,#いにしつきより[寛],#いまだあはぬかも,[寛]いまたあはぬかも,##"
12/2896,"（正述心緒）","歌方毛 曰管毛有鹿 吾有者 地庭不落 空消生","うたがたも言ひつつもあるか我れならば地には落ちず空に消なまし","うたがたも いひつつもあるか われならば つちにはおちず そらにけなまし","なし","なし","恋情","うたがたも,[寛]うたかたも,#いひつつもあるか[寛],#われならば,[寛]われならは,#つちにはおちず,[寛]つちにはおちし,#そらにけなまし[寛],##"
12/2897,"（正述心緒）","何 日之時可毛 吾妹子之 裳引之容儀 朝尓食尓将見","いかならむ日の時にかも我妹子が裳引きの姿朝に日に見む","いかならむ ひのときにかも わぎもこが もびきのすがた あさにけにみむ","なし","なし","恋情","いかならむ,[寛]いかならん,#ひのときにかも[寛],#わぎもこが,[寛]わきもこか,#もびきのすがた,[寛]もひきのすかた,#あさにけにみむ[寛],##"
12/2898,"（正述心緒）","獨居而 戀者辛苦 玉手次 不懸将忘 言量欲","ひとり居て恋ふるは苦し玉たすき懸けず忘れむ事計りもが","ひとりゐて こふるはくるし たまたすき かけずわすれむ ことはかりもが","なし","なし","枕詞 恋情","ひとりゐて[寛],#こふるはくるし[寛],#たまたすき[寛],#かけずわすれむ,[寛]かけてわすれむ,#ことはかりもが,[寛]ことはかりせよ,##"
12/2899,"（正述心緒）","中々二 黙然毛有申尾 小豆無 相見始而毛 吾者戀香","なかなかに黙もあらましをあづきなく相見そめても我れは恋ふるか","なかなかに もだもあらましを あづきなく あひみそめても あれはこふるか","なし","なし","恋情","なかなかに[寛],#もだもあらましを,[寛]もたもあらましを,#あづきなく,[寛]あちきなく,#あひみそめても[寛],#あれはこふるか,[寛]われはこふるか,##"
12/2900,"（正述心緒）","吾妹子之 咲眉引 面影 懸而本名 所念可毛","我妹子が笑まひ眉引き面影にかかりてもとな思ほゆるかも","わぎもこが ゑまひまよびき おもかげに かかりてもとな おもほゆるかも","なし","なし","恋情","わぎもこが,[寛]わきもこか,#ゑまひまよびき,[寛]ゑまひまよひき,#おもかげに,[寛]おもかけに,#かかりてもとな[寛],#おもほゆるかも[寛],##"
12/2901,"（正述心緒）","赤根指 日之暮去者 為便乎無三 千遍嘆而 戀乍曽居","あかねさす日の暮れゆけばすべをなみ千たび嘆きて恋ひつつぞ居る","あかねさす ひのくれゆけば すべをなみ ちたびなげきて こひつつぞをる","なし","なし","枕詞 恋情","あかねさす[寛],#ひのくれゆけば,[寛]ひのくれゆけは,#すべをなみ,[寛]すへをなみ,#ちたびなげきて,[寛]ちへになけきて,#こひつつぞをる,[寛]こひつつそをる,##"
12/2902,"（正述心緒）","吾戀者 夜晝不別 百重成 情之念者 甚為便無","我が恋は夜昼わかず百重なす心し思へばいたもすべなし","あがこひは よるひるわかず ももへなす こころしおもへば いたもすべなし","なし","なし","恋情","あがこひは,[寛]わかこひは,#よるひるわかず,[寛]よるひるわかす,#ももへなす,[寛]ももへなる,#こころしおもへば,[寛]こころしおもへは,#いたもすべなし,[寛]いともすへなし,##"
12/2903,"（正述心緒）","五十殿寸太 薄寸眉根乎 徒 令掻管 不相人可母","いとのきて薄き眉根をいたづらに掻かしめつつも逢はぬ人かも","いとのきて うすきまよねを いたづらに かかしめつつも あはぬひとかも","なし","なし","恋情","いとのきて[寛],#うすきまよねを,[寛]うすきまゆねを,#いたづらに,[寛]いたつらに,#かかしめつつも[寛],#あはぬひとかも[寛],##"
12/2904,"（正述心緒）","戀々而 後裳将相常 名草漏 心四無者 五十寸手有目八面","恋ひ恋ひて後も逢はむと慰もる心しなくは生きてあらめやも","こひこひて のちもあはむと なぐさもる こころしなくは いきてあらめやも","なし","なし","恋情","こひこひて[寛],#のちもあはむと[寛],#なぐさもる,[寛]なくさむる,#こころしなくは[寛],#いきてあらめやも[寛],##"
12/2905,"（正述心緒）","幾 不生有命乎 戀管曽 吾者氣衝 人尓不所知","いくばくも生けらじ命を恋ひつつぞ我れは息づく人に知らえず","いくばくも いけらじいのちを こひつつぞ われはいきづく ひとにしらえず","なし","なし","恋情","いくばくも,[寛]いくはくも,#いけらじいのちを,[寛]いけらしいのちを,#こひつつぞ,[寛]こひつつそ,#われはいきづく,[寛]われはいきつく,#ひとにしらえず,[寛]ひとにしられす,##"
12/2906,"（正述心緒）","他國尓 結婚尓行而 大刀之緒毛 未解者 左夜曽明家流","他国によばひに行きて大刀が緒もいまだ解かねばさ夜ぞ明けにける","ひとくにに よばひにゆきて たちがをも いまだとかねば さよぞあけにける","なし","なし","恋愛","ひとくにに[寛],#よばひにゆきて,[寛]よはひにゆきて,#たちがをも,[寛]たちのをも,#いまだとかねば,[寛]またとけされは,#さよぞあけにける,[寛]さよそあけにける,##"
12/2907,"（正述心緒）","大夫之 <聡>神毛 今者無 戀之奴尓 吾者可死","ますらをの聡き心も今はなし恋の奴に我れは死ぬべし","ますらをの さときこころも いまはなし こひのやつこに われはしぬべし","なし","聴 -> 聡 [西（訂正頭書）][元][紀][細][温]","恋情","ますらをの[寛],#さときこころも[寛],#いまはなし[寛],#こひのやつこに[寛],#われはしぬべし,[寛]われはしぬへし,##"
12/2908,"（正述心緒）","常如是 戀者辛苦 蹔毛 心安目六 事計為与","常かくし恋ふれば苦ししましくも心休めむ事計りせよ","つねかくし こふればくるし しましくも こころやすめむ ことはかりせよ","なし","なし","恋情","つねかくし,[寛]つねにかく,#こふればくるし,[寛]こふれはくるし,#しましくも,[寛]しはらくも,#こころやすめむ[寛],#ことはかりせよ[寛],##"
12/2909,"（正述心緒）","凡尓 吾之念者 人妻尓 有云妹尓 戀管有米也","おほろかに我れし思はば人妻にありといふ妹に恋ひつつあらめや","おほろかに われしおもはば ひとづまに ありといふいもに こひつつあらめや","なし","なし","恋情","おほろかに,[寛]おほよそに,#われしおもはば,[寛]われしおもはは,#ひとづまに,[寛]ひとつまに,#ありといふいもに[寛],#こひつつあらめや[寛],##"
12/2910,"（正述心緒）","心者 千重百重 思有杼 人目乎多見 妹尓不相可母","心には千重に百重に思へれど人目を多み妹に逢はぬかも","こころには ちへにももへに おもへれど ひとめをおほみ いもにあはぬかも","なし","なし","恋情 人目 尫柜蹋","こころには[寛],#ちへにももへに[寛],#おもへれど,[寛]おもへれと,#ひとめをおほみ[寛],#いもにあはぬかも[寛],##"
12/2911,"（正述心緒）","人目多見 眼社忍礼 小毛 心中尓 吾念莫國","人目多み目こそ忍ぶれすくなくも心のうちに我が思はなくに","ひとめおほみ めこそしのぶれ すくなくも こころのうちに わがおもはなくに","なし","なし","人目 尫柜蹋 恋情","ひとめおほみ[寛],#めこそしのぶれ,[寛]めこそしのふれ,#すくなくも[寛],#こころのうちに[寛],#わがおもはなくに,[寛]わかおもはなくに,##"
12/2912,"（正述心緒）","人見而 事害目不為 夢尓吾 今夜将至 屋戸閇勿勤","人の見て言とがめせぬ夢に我れ今夜至らむ宿閉すなゆめ","ひとのみて こととがめせぬ いめにわれ こよひいたらむ やどさすなゆめ","なし","なし","人目 尫柜蹋 恋情","ひとのみて[寛],#こととがめせぬ,[寛]こととかめせぬ,#いめにわれ,[寛]ゆめにわれ,#こよひいたらむ[寛],#やどさすなゆめ,[寛]やとさすなゆめ,##"
12/2913,"（正述心緒）","何時左右二 将生命曽 凡者 戀乍不有者 死上有","いつまでに生かむ命ぞおほかたは恋ひつつあらずは死なましものを","いつまでに いかむいのちぞ おほかたは こひつつあらずは しなましものを","なし","なし","恋情","いつまでに,[寛]いつまてに,#いかむいのちぞ,[寛]いかむいのちそ,#おほかたは,[寛]おほよそは,#こひつつあらずは,[寛]こひつつあらすは,#しなましものを,[寛]しぬるまされり,##"
12/2914,"（正述心緒）","<愛>等 念吾妹乎 夢見而 起而探尓 無之不怜","愛しと思ふ我妹を夢に見て起きて探るになきが寂しさ","うつくしと おもふわぎもを いめにみて おきてさぐるに なきがさぶしさ","なし","愛 [西（上書訂正）][元][紀][細][温]","恋情 遊仙窟","うつくしと[寛],#おもふわぎもを,[寛]おもふわきもを,#いめにみて,[寛]ゆめにみて,#おきてさぐるに,[寛]おきてさくるに,#なきがさぶしさ,[寛]なきかさひしさ,##"
12/2915,"（正述心緒）","妹登曰者 無礼恐 然為蟹 懸巻欲 言尓有鴨","妹と言はばなめし畏ししかすがに懸けまく欲しき言にあるかも","いもといはば なめしかしこし しかすがに かけまくほしき ことにあるかも","なし","なし","恋愛","いもといはば,[寛]いもといへは,#なめしかしこし,[寛]なけれかしこし,#しかすがに,[寛]しかすかに,#かけまくほしき[寛],#ことにあるかも,[寛]われにあるかも,##"
12/2916,"（正述心緒）","玉勝間 相登云者 誰有香 相有時左倍 面隠為","玉かつま逢はむと言ふは誰れなるか逢へる時さへ面隠しする","たまかつま あはむといふは たれなるか あへるときさへ おもかくしする","なし","なし","枕詞 恋愛","たまかつま[寛],#あはむといふは[寛],#たれなるか[寛],#あへるときさへ[寛],#おもかくしする,[寛]おもかくれする,##"
12/2917,"（正述心緒）","寤香 妹之来座有 夢可毛 吾香惑流 戀之繁尓","うつつにか妹が来ませる夢にかも我れか惑へる恋の繁きに","うつつにか いもがきませる いめにかも われかまとへる こひのしげきに","なし","なし","恋情","うつつにか[寛],#いもがきませる,[寛]いもかきませる,#いめにかも,[寛]ゆめにかも,#われかまとへる[寛],#こひのしげきに,[寛]こひのしけきに,##"
12/2918,"（正述心緒）","大方者 何鴨将戀 言擧不為 妹尓依宿牟 年者近<綬>","おほかたは何かも恋ひむ言挙げせず妹に寄り寝む年は近きを","おほかたは なにかもこひむ ことあげせず いもによりねむ としはちかきを","なし","絞 -> 綬 [元][紀][矢][京]","恋情","おほかたは[寛],#なにかもこひむ[寛],#ことあげせず,[寛]ことあけせす,#いもによりねむ[寛],#としはちかきを[寛],##"
12/2919,"（正述心緒）","二為而 結之紐乎 一為而 吾者解不見 直相及者","ふたりして結びし紐をひとりして我れは解きみじ直に逢ふまでは","ふたりして むすびしひもを ひとりして あれはときみじ ただにあふまでは","なし","なし","恋情 羈旅","ふたりして[寛],#むすびしひもを,[寛]むすひしひもを,#ひとりして[寛],#あれはときみじ,[寛]われはときみし,#ただにあふまでは,[寛]たたにあふまては,##"
12/2920,"（正述心緒）","終命 此者不念 唯毛 妹尓不相 言乎之曽念","終へむ命ここは思はずただしくも妹に逢はざることをしぞ思ふ","をへむいのち ここはおもはず ただしくも いもにあはざる ことをしぞおもふ","なし","なし","恋情","をへむいのち,[寛]しなむいのち,#ここはおもはず,[寛]ころはおもはす,#ただしくも,[寛]たたしくも,#いもにあはざる,[寛]いもにあはさる,#ことをしぞおもふ,[寛]ことをしそおもふ,##"
